Company_IRI;Company Name;Industry_IRI;Industry;Address_IRI;Full Address;Street_IRI;Street;Norm_Street_IRI;Normalized Street;House Number;Part of House;House Floor;Building_IRI;Building;BuildPart_IRI;BuildingPart;BuildPartFloor_IRI;BuildingPartFloor;Owner_Address_IRI;Full Owner Address;Owner_Street_IRI;Owner Street;Norm_Owner_Street_IRI;Normalized Owner Street;Owner Number;Street_Coordinates
company_0;H ldelmann. u. Meyer Georg Blechspielwarenfabrikanten;;;address_16204;Altcrstraße 8;street_0;Altcrstraße;;;8;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_3;Matthauser. Schreinermeister;;;address_16207;Altcrstraße 21;street_0;Altcrstraße;;;21;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_5;Bleisteiner BiIdlu;;;address_16210;Altcrstraße 24;street_0;Altcrstraße;;;24;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_8;Krauß K. Schreinr.;;;address_16210;Altcrstraße 24;street_0;Altcrstraße;;;24;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_41;Schmid. Nächst Pianvmagazin;;;address_16227;Altcrstraße 19;street_0;Altcrstraße;;;19;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_45;L Boch G. Groß;;;address_16211;Altcrstraße 1;street_0;Altcrstraße;;;1;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_53;Kaiser H. Schuhm.;;;address_16234;Albrccht-Dürer-Platz 27;street_11;Albrccht-Dürer-Platz;street_12;Albrecht-Dürer-Platz;27;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_59;Maier Adler Vertrieb chem. techn. Industrieprodukte;;;address_16238;Aleranderstraße 19;street_13;Aleranderstraße;street_14;Alexanderstraße;19;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_69;Gutmann E. Seide- und Mvdemarengesch.;;;address_16249;Anöbacher Bahnlinie 16;street_19;Anöbacher Bahnlinie;;;16;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_73;Albert Aletallivarenfabr.;;;address_16250;Aufjchplatz 2;street_20;Aufjchplatz;;;2;Vorderhaus;;;;;;;;address_16205;;;;;;;Page:F_23_92.jpg\F_23_92-017.jpg, HEIGHT:72.0, WIDTH:301.0, VPOS:1946.0, HPOS:1976.0
company_79;Pflaum A. Neiseättikelfabrikant;;;address_16256;Augustinerstraße 19;street_21;Augustinerstraße;street_21;Augustinerstraße;19;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_82;Winkler A. Haffner K. Blechspielwfbr;;;address_16259;Augustinerstraße 16;street_21;Augustinerstraße;street_21;Augustinerstraße;16;Vorderhaus;1.0;;;;;;;address_16205;;;;;;;
company_96;Stein Neuburger Kurzw. en gr. u. erp.;;;address_16272;Augustinerstraße 63;street_21;Augustinerstraße;street_21;Augustinerstraße;63;Vorderhaus;;;;;;;;address_16205;;;;;;;
company_100;Schmidt F. Blcchspielwarcnfabrikant;;;address_16277;Augustinerstraße 125;street_21;Augustinerstraße;street_21;Augustinerstraße;125;Hinterhaus;0.0;;;;;;;address_16205;;;;;;;
company_108;Zahr Buchdruckereibesitzer;;;address_16261;Augustinerstraße 21;street_21;Augustinerstraße;street_21;Augustinerstraße;21;Vorderhaus;;;;;;;;address_16205;;;;;;;
