Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
!Eiseichastnschafsner,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
!Taglöbner,,B 20002-511,B,Tagelöhner/in,20002,"Rohstoffgewinnung, Produktion und Fertigung",Unspezifische Berufe in der Produktion,Allgemeine Berufe in der Produktion - ohne Spezialisierung,Berufe in der Produktion (ohne Spezialisierung),Allgemeine Berufe in der Produktion - fachlich ausgerichtete Tätigkeiten,511,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""H. 0.goh"""" Friseur""",,B 82312-102,B,Friseur/in,82312,"Gesundheit, Soziales, Lehre und Erziehung","Nichtmedizinische Gesundheits-, Körperpflege- und Wellnessberufe, Medizintechnik",Körperpflege,Berufe im Friseurgewerbe,Berufe im Friseurgewerbe - fachlich ausgerichtete Tätigkeiten,102,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""H""""fverswe.""",1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""K. Hauptmann u. Adiutanl bei mGeneral-Kommando III. """"ArmeeKorps""",,B 01104-118,B,Hauptmann,1104,Militär,Angehörige der regulären und besonderer Streitkräfte,Offiziere,Offiziere,Offiziere,118,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""Lehre""""swe.""",,B 84124-120,B,Lehrer/in,84124,"Gesundheit, Soziales, Lehre und Erziehung",Lehrende und ausbildende Berufe,Lehrtätigkeit an allgemeinbildenden Schulen,Lehrkräfte in der Sekundarstufe,Lehrkräfte in der Sekundarstufe - hoch komplexe Tätigkeiten,120,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""Oekonomie'""""at""",1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""pen"""". Kreisarchivdiener""",,B 73312-501,B,Archivdiener/in,73312,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,"Medien-, Dokumentations- und Informationsdienste",Berufe im Archivwesen,Berufe im Archivwesen - fachlich ausgerichtete Tätigkeiten,501,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""Revifio""""sbean'te""""we""",,B 72243-509,B,,72243,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung","Berufe in Finanzdienstleistungen, Rechnungswesen und Steuerberatung","Rechnungswesen, Controlling und Revision",Berufe in Wirtschaftsprüfung,Berufe in Wirtschaftsprüfung - komplexe Spezialistentätigkeiten,509,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""Sch""""einercigeschäftsinh.""",,B 27294-501,B,,27294,"Rohstoffgewinnung, Produktion und Fertigung","Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe","Technisches Zeichnen, Konstruktion und Modellbau","Aufsichts- und Führungskräfte - Technisches Zeichnen, Konstruktion und Modellbau","Führungskräfte - Technisches Zeichnen, Konstruktion und Modellbau",501,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""Tabak- un dI """" g.qanenhdlr.""",,B 62382-538,B,"Tabakhändler/in, Tabakwarenhändler/in",62382,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf von Lebensmitteln,Berufe im Verkauf von Lebensmitteln sonstige spezifische Tätigkeitsangabe,Berufe im Verkauf von Lebensmitteln (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten,538,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""U.""""ial Tagt.""",1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
"""Vol-  i""""burge rmachei. 27""",1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
0.r. Fabrik-es.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
1 L>c htr. 29,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
1.anal-r.4,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
1.tr. 27,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
1.tr.13,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
11 l.l' Schlosser,,B 24412-127,B,Schlosser/in,24412,"Rohstoffgewinnung, Produktion und Fertigung","Metallerzeugung und -bearbeitung, Metallbauberufe",Metallbau und Schweißtechnik,Berufe im Metallbau,Berufe im Metallbau - fachlich ausgerichtete Tätigkeiten,127,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
111. 18,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
111. Dach-jannisFürthe ri  31,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
111.cA Arbeiter,,B 20002-500,B,Arbeiter/in - allgemein,20002,"Rohstoffgewinnung, Produktion und Fertigung",Unspezifische Berufe in der Produktion,Allgemeine Berufe in der Produktion - ohne Spezialisierung,Berufe in der Produktion (ohne Spezialisierung),Allgemeine Berufe in der Produktion - fachlich ausgerichtete Tätigkeiten,500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
2chreiit.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
2öeinhündlerswe.,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
3pezereihdlr.,,B 62382-582,B,Spezereienhändler/in,62382,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf von Lebensmitteln,Berufe im Verkauf von Lebensmitteln sonstige spezifische Tätigkeitsangabe,Berufe im Verkauf von Lebensmitteln (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tätigkeiten,582,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
5k. Pvstsekret.,,B 51662-500,B,Postsekretär/in,51662,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,Kaufleute - Verkehr und Logistik,"Kurier-, Express- und Postdienstleistungskaufleute","Kurier-, Express- und Postdienstleistungskaufleute - fachlich ausgerichtete Tätigkeiten",500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
5kaufm.,,B 62102-100,B,Kaufmann/-frau - Einzelhandel,62102,"Kaufmännische Dienstleistungen, Warenhandel, Vertrieb, Hotel und Tourismus",Verkaufsberufe,Verkauf ohne Produktspezialisierung,Berufe im Verkauf ohne Produktspezialisierung,Berufe im Verkauf (ohne Produktspezialisierung) - fachlich ausgerichtete Tätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
5koutorist,,B 71402-155,B,Kontorist/in,71402,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Unternehmensführung und -organisation,Büro und Sekretariat,Büro- und Sekretariatskräfte ohne Spezialisierung,Büro- und Sekretariatskräfte (ohne Spezialisierung) - fachlich ausgerichtete Tätigkeiten,155,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
96 ißzeuginachcr,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Arbeiter,,B 20002-500,B,Arbeiter/in - allgemein,20002,"Rohstoffgewinnung, Produktion und Fertigung",Unspezifische Berufe in der Produktion,Allgemeine Berufe in der Produktion - ohne Spezialisierung,Berufe in der Produktion (ohne Spezialisierung),Allgemeine Berufe in der Produktion - fachlich ausgerichtete Tätigkeiten,500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Archit,1,,,,,,,,,,,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Ausgeher,,B 51321-568,B,Ausgeher/in,51321,"Verkehr, Logistik, Schutz und Sicherheit",Verkehrs- und Logistikberufe außer Fahrzeugführung,"Lagerwirtschaft, Post und Zustellung, Güterumschlag",Berufe für Post- und Zustelldienste,Berufe für Post- und Zustelldienste - Helfer-/Anlerntätigkeiten,568,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
